# File Name: Holy-Bible---Holy-Bible---Sanskrit---ITRANS-Script---Analysis.txt
# File Size: 20904       
# File Date: 12/13/2025 05:56:47
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Sanskrit New Testament, ITRANS
# Bible Name English: Sanskrit New Testament, ITRANS
# Bible Language: ITRANS
# Bible Language English: Sanskrit
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: SanskritBible.in
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=sanitr
# Bible Source Year: 2018
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Sanskrit---ITRANS-Script	ENCODING	Source	Holy-Bible---Sanskrit---ITRANS-Script---Source-Edition.VPL.txt	UTF-8	NOTICE
Sanskrit---ITRANS-Script	ENCODING	Aionian	Holy-Bible---Sanskrit---ITRANS-Script---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Sanskrit---ITRANS-Script	BYTES	Source	bytes / chars	1056315 / 1053153 (multi-byte)	NOTICE
Sanskrit---ITRANS-Script	BYTES	Aionian	bytes / chars	1112895 / 1112699 (multi-byte)	NOTICE
Sanskrit---ITRANS-Script	BYTES	SourceClean	bytes / chars	1055490 / 1052328 (multi-byte)	NOTICE
Sanskrit---ITRANS-Script	BYTES	AionianClean	bytes / chars	1110649 / 1110453 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Sanskrit---ITRANS-Script	AIONIAN	Aionian	book-not-exist	0	NOTICE
Sanskrit---ITRANS-Script	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Sanskrit---ITRANS-Script	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Sanskrit---ITRANS-Script	AIONIAN	Aionian	missing-chapter	0	NOTICE
Sanskrit---ITRANS-Script	AIONIAN	Aionian	missing-verse	0	NOTICE
Sanskrit---ITRANS-Script	AIONIAN	Aionian	aionian-verses	200	NOTICE
Sanskrit---ITRANS-Script	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Sanskrit---ITRANS-Script	UNPRINTABLE	Source	count	0	NOTICE
Sanskrit---ITRANS-Script	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Sanskrit---ITRANS-Script	UNICODE	Summary	(-)Orginal	65	NOTICE
Sanskrit---ITRANS-Script	UNICODE	Summary	(+)Aionian	54	NOTICE
Sanskrit---ITRANS-Script	UNICODE	Source(-)	Basic Latin : (M)	24443	NOTICE
Sanskrit---ITRANS-Script	UNICODE	Source(-)	Basic Latin : (A)	64567	NOTICE
Sanskrit---ITRANS-Script	UNICODE	Source(-)	Basic Latin : (T)	5515	NOTICE
Sanskrit---ITRANS-Script	UNICODE	Source(-)	Basic Latin : ( )	111935	NOTICE
Sanskrit---ITRANS-Script	UNICODE	Source(-)	Basic Latin : (1)	8053	NOTICE
Sanskrit---ITRANS-Script	UNICODE	Source(-)	Basic Latin : (:)	7968	NOTICE
Sanskrit---ITRANS-Script	UNICODE	Source(-)	Basic Latin : (i)	46724	NOTICE
