# File Name: Holy-Bible---Holy-Bible---Chinese---Mandarin-Bible-Traditional---Analysis.txt
# File Size: 356376      
# File Date: 12/13/2025 05:15:57
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: 聖經，當代譯本開放資源
# Bible Name English: Mandarin Open Bible (Traditional)
# Bible Language: 汉语
# Bible Language English: Chinese
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=cmncbt
# Bible Source Year: 1979, 2005, 2007, 2012, 2023
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Chinese---Mandarin-Bible-Traditional	ENCODING	Source	Holy-Bible---Chinese---Mandarin-Bible-Traditional---Source-Edition.VPL.txt	UTF-8	NOTICE
Chinese---Mandarin-Bible-Traditional	ENCODING	Aionian	Holy-Bible---Chinese---Mandarin-Bible-Traditional---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Chinese---Mandarin-Bible-Traditional	BYTES	Source	bytes / chars	3431087 / 1366598 (multi-byte)	NOTICE
Chinese---Mandarin-Bible-Traditional	BYTES	Aionian	bytes / chars	3644295 / 1579364 (multi-byte)	NOTICE
Chinese---Mandarin-Bible-Traditional	BYTES	SourceClean	bytes / chars	3430238 / 1365749 (multi-byte)	NOTICE
Chinese---Mandarin-Bible-Traditional	BYTES	AionianClean	bytes / chars	3640473 / 1576078 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Chinese---Mandarin-Bible-Traditional	AIONIAN	Aionian	missing-verse	065-JUD-001-025	NOTICE
Chinese---Mandarin-Bible-Traditional	AIONIAN	Aionian	book-not-exist	0	NOTICE
Chinese---Mandarin-Bible-Traditional	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Chinese---Mandarin-Bible-Traditional	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Chinese---Mandarin-Bible-Traditional	AIONIAN	Aionian	missing-chapter	0	NOTICE
Chinese---Mandarin-Bible-Traditional	AIONIAN	Aionian	missing-verse	1	NOTICE
Chinese---Mandarin-Bible-Traditional	AIONIAN	Aionian	aionian-verses	263	NOTICE
Chinese---Mandarin-Bible-Traditional	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Chinese---Mandarin-Bible-Traditional	UNPRINTABLE	Source	count	0	NOTICE
Chinese---Mandarin-Bible-Traditional	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Chinese---Mandarin-Bible-Traditional	UNICODE	Summary	(-)Orginal	29	NOTICE
Chinese---Mandarin-Bible-Traditional	UNICODE	Summary	(+)Aionian	56	NOTICE
Chinese---Mandarin-Bible-Traditional	UNICODE	Source(-)	Basic Latin : (G)	2334	NOTICE
Chinese---Mandarin-Bible-Traditional	UNICODE	Source(-)	Basic Latin : (E)	10862	NOTICE
Chinese---Mandarin-Bible-Traditional	UNICODE	Source(-)	Basic Latin : ( )	75360	NOTICE
Chinese---Mandarin-Bible-Traditional	UNICODE	Source(-)	Basic Latin : (1)	30310	NOTICE
