# File Name: Holy-Bible---Holy-Bible---Sanskrit---Oriya-Script---Analysis.txt
# File Size: 22600       
# File Date: 12/13/2025 05:57:01
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ଓଡ଼ିଆ
# Bible Name English: Sanskrit New Testament, Oriya
# Bible Language: ଓଡ଼ିଆ
# Bible Language English: Sanskrit
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: SanskritBible.in
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=sanori
# Bible Source Year: 2018
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Sanskrit---Oriya-Script	ENCODING	Source	Holy-Bible---Sanskrit---Oriya-Script---Source-Edition.VPL.txt	UTF-8	NOTICE
Sanskrit---Oriya-Script	ENCODING	Aionian	Holy-Bible---Sanskrit---Oriya-Script---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Sanskrit---Oriya-Script	BYTES	Source	bytes / chars	2412598 / 931471 (multi-byte)	NOTICE
Sanskrit---Oriya-Script	BYTES	Aionian	bytes / chars	2471303 / 989843 (multi-byte)	NOTICE
Sanskrit---Oriya-Script	BYTES	SourceClean	bytes / chars	2411775 / 930648 (multi-byte)	NOTICE
Sanskrit---Oriya-Script	BYTES	AionianClean	bytes / chars	2468731 / 987675 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Sanskrit---Oriya-Script	AIONIAN	Aionian	book-not-exist	0	NOTICE
Sanskrit---Oriya-Script	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Sanskrit---Oriya-Script	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Sanskrit---Oriya-Script	AIONIAN	Aionian	missing-chapter	0	NOTICE
Sanskrit---Oriya-Script	AIONIAN	Aionian	missing-verse	0	NOTICE
Sanskrit---Oriya-Script	AIONIAN	Aionian	aionian-verses	200	NOTICE
Sanskrit---Oriya-Script	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Sanskrit---Oriya-Script	UNPRINTABLE	Source	count	0	NOTICE
Sanskrit---Oriya-Script	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Sanskrit---Oriya-Script	UNICODE	Summary	(-)Orginal	45	NOTICE
Sanskrit---Oriya-Script	UNICODE	Summary	(+)Aionian	54	NOTICE
Sanskrit---Oriya-Script	UNICODE	Source(-)	Basic Latin : (M)	2315	NOTICE
Sanskrit---Oriya-Script	UNICODE	Source(-)	Basic Latin : (A)	3013	NOTICE
Sanskrit---Oriya-Script	UNICODE	Source(-)	Basic Latin : (T)	2502	NOTICE
Sanskrit---Oriya-Script	UNICODE	Source(-)	Basic Latin : ( )	112005	NOTICE
Sanskrit---Oriya-Script	UNICODE	Source(-)	Basic Latin : (1)	8052	NOTICE
Sanskrit---Oriya-Script	UNICODE	Source(-)	Basic Latin : (:)	7968	NOTICE
Sanskrit---Oriya-Script	UNICODE	Source(-)	Basic Latin : (\n)	7959	NOTICE
Sanskrit---Oriya-Script	UNICODE	Source(-)	Basic Latin : (2)	5146	NOTICE
